Taxon_Name	Level	X23201Vag1	X20109Vag1	X20707Vag1	X20805Vag1	X20905Vag1	X21105Vag1	X21305Vag1	X22601Vag1	X23301Vag1	X22801Vag1	X13401Vag1	X13501Vul1	X13401Vul1	X13301Vul1	X13301Vag1	X13202Vul1	X13202Vag1	X22401Vag1	X13201Vul1	X12901Vag1	X12901Vul1	X12802Vag1	X12803Vul1	X12801Vul1	X12803Vag1	X12703Vul1	X22901Vag1	X12703Vag1	X12702Vul1	X12702Vag1	X12701Vul1	X12701Vag1	X12603Vul1	X12603Vag1	X12601Vag1	X12602Vul1	X12601Vul1	X21406Vag1	X12502Vul1	X12501Vul1	X12501Vag1	X12403Vul1	X12403Vag1	X12402Vul1	X12402Vag1	X12401Vul1	X21503Vag1	X12401Vag1	X12103Vul1	X12103Vag1	X12102Vul1	X12102Vag1	X10101Vul1	X10402Vag1	X10402Vul1	X10501Vag1	X10501Vul1	X20501Vag1	X10601Vag1	X10601Vul2	X10701Vag1	X10701Vul1	X10801Vag1	X10201Vul1	X10801Vul1	X20801Vag1	X10103Vag1	X10103Vul1	X10104Vag1	X10104Vul1	X10102Vag1	X10102Vul1	X10202Vag2	X10202Vul1	X10201Vag1	X10203Vag1	X10203Vul1	X10302Vag1	X10302Vul1	X10303Vag1	X10303Vul1	X10403Vul1	X10602Vag1	X10602Vul1	X10603Vag1	X10301Vul1	X10603Vul1	X10702Vag1	X10702Vul1	X10703Vag1	X10703Vul1	X10901Vag1	X10901Vul1	X10902Vag1	X10902Vul1	X11001Vag1	X10301Vag1	X11001Vul1	X11002Vul2	X11101Vag1	X11101Vul1	X11201Vag1	X11201Vul1	X11301Vag1	X11301Vul1	X20701Vag1	X20901Vag1	X10401Vul1	X21001Vag1	X21101Vag1	X21301Vag1	X20101Vag1	X20201Vag1	X20301Vag1	X10106Vag1	X20105Vag1	X10903Vul1	X10903Vag1	X11402Vul1	X11202Vag1	X10304Vag1	X10204Vag1	X10503Vag1	X10705Vul1	X11403Vag1	X22001Vag1	X10904Vag1	X10804Vul1	X10105Vag1	X10503Vul1	X10704Vul1	X11601Vul1	X10504Vul1	X12101Vul1	X11601Vag1	X10404Vag3	X20206Vag1	X10604Vag1	X11302Vul1	X10705Vag1	X11501Vul1	X10305Vag1	X11303Vul1	X10803Vul1	X11102Vag1	X11302Vag1	X10605Vul1	X22301Vag1	X10804Vag1	X10305Vul1	X11801Vul1	X10803Vag1	X10604Vul1	X11202Vul1	X10605Vag1	X10904Vul1	X11801Vag1	X10504Vag1	X21601Vag1	X10105Vul1	X20305Vag1	X21401Vag1	X10405Vul1	X10405Vag1	X10113Vag1	X12407Vul1	X12505Vag1	X12505Vul1	X12506Vag1	X12506Vul1	X12608Vag1	X12608Vul1	X22701Vag1	X12706Vag1	X12706Vul1	X10113Vul1	X12707Vag1	X12707Vul1	X12806Vag1	X12806Vul1	X12807Vag1	X12807Vul2	X13205Vul1	X13206Vag1	X13206Vul1	X10114Vag1	X13305Vag1	X13305Vul1	X23305Vag1	X13306Vag1	X13306Vul1	X13405Vag1	X13405Vul1	X13504Vag1	X13504Vul1	X13505Vag1	X10114Vul1	X13505Vul1	X13601Vul1	X13603Vag1	X13603Vul1	X13604Vag1	X13604Vul1	X10111Vag1	X10111Vul1	X10112Vag1	X20114Vag1	X10112Vul1	X10209Vag1	X10210Vag1	X10209Vul1	X10210Vul1	X10309Vag1	X10309Vul1	X10310Vag1	X10310Vul1	X10311Vag1	X10211Vag1	X10311Vul1	X10410Vag1	X10410Vul1	X10608Vag1	X10608Vul1	X10709Vag1	X10709Vul1	X10809Vag1	X10809Vul1	X10908Vag1	X10908Vul1	X10909Vag1	X10909Vul1	X11107Vag1	X11107Vul1	X11108Vag1	X11108Vul1	X11207Vag1	X11207Vul1	X11208Vag1	X10212Vag1	X11208Vul1	X11408Vag1	X11408Vul1	X11505Vag1	X11505Vul1	X11506Vul1	X12005Vag1	X12006Vag1	X10212Vul1	X12104Vag1	X12104Vul1	X12106Vag1	X12106Vul1	X12305Vul1	X12404Vag1	X12404Vul1	X12405Vag1	X12405Vul1	X12503Vul1	X10306Vag1	X12504Vul1	X12604Vul1	X12605Vul1	X12606Vag1	X12606Vul1	X12704Vag1	X12704Vul1	X12705Vag1	X12705Vul1	X12804Vag1	X10106Vul1	X10704Vag1	X10204Vul1	X12301Vul1	X12101Vag1	X12301Vag1	X11401Vag1	X10304Vul1	X11303Vag1	X12001Vag1	X12001Vul1	X10404Vul1	X11401Vul1	X11102Vul1	X12804Vul1	X12805Vag1	X12805Vul1	X13203Vag1	X13203Vul1	X13204Vag1	X13302Vul1	X13303Vag1	X10307Vag1	X13303Vul1	X13304Vag1	X13304Vul1	X13402Vul1	X13403Vag1	X13404Vul1	X13502Vag1	X10307Vul1	X13502Vul1	X13503Vag1	X13602Vag1	X13602Vul1	X20210Vag1	X20309Vag1	X20709Vag1	X20809Vag1	X21207Vag1	X10308Vag1	X21506Vag1	X22006Vag1	X22305Vag1	X22606Vag1	X22705Vag1	X23502Vag1	X10308Vul1	X10312Vag1	X10408Vag1	X10409Vag1	X10107Vul1	X10409Vul1	X10412Vag1	X10412Vul1	X10505Vag1	X10505Vul1	X10607Vag1	X10607Vul2	X10609Vag2	X10108Vag1	X10609Vul2	X10610Vag1	X10610Vul1	X10611Vag1	X10611Vul1	X10708Vag1	X10708Vul1	X10710Vag1	X10710Vul1	X10711Vag1	X10108Vul1	X10711Vul1	X10806Vag1	X10806Vul1	X10807Vag1	X10807Vul1	X10808Vag1	X10808Vul1	X10810Vag1	X10810Vul1	X10811Vag1	X10109Vag1	X10811Vul1	X10906Vag1	X10906Vul1	X10907Vag1	X10907Vul1	X10910Vag1	X10910Vul1	X10911Vag1	X10911Vul1	X20911Vag1	X10109Vul1	X11106Vag1	X11106Vul1	X11109Vag1	X11109Vul1	X11110Vag1	X11209Vag1	X11209Vul1	X11407Vag1	X11407Vul1	X10110Vag1	X11409Vag1	X11409Vul1	X12107Vag1	X12107Vul1	X12108Vag1	X12108Vul1	X12305Vag1	X12306Vag1	X10110Vul1	X12306Vul1	X12307Vag1	X12307Vul2	X12308Vag1	X12308Vul1	X12406Vag1	X12406Vul1	X22406Vag1	X12407Vag1	X10206Vag1	X10506Vul1	X10606Vag1	X10606Vul1	X10706Vag1	X10706Vul1	X10707Vag1	X10707Vul1	X10805Vag1	X10206Vul1	X10805Vul1	X11103Vag1	X11103Vul1	X11104Vag1	X11104Vul1	X11105Vag1	X11105Vul1	X10905Vag1	X10207Vag1	X10905Vul1	X11203Vag1	X11203Vul1	X11204Vag1	X11204Vul1	X11205Vag1	X11205Vul1	X11206Vag1	X11206Vul1	X11404Vul1	X10207Vul1	X11405Vul1	X11406Vag1	X11406Vul1	X11502Vag1	X11502Vul1	X11503Vul1	X11504Vag1	X11504Vul1	X10208Vag1	X11602Vag1	X11602Vul1	X11603Vag1	X11603Vul1	X12002Vag1	X12002Vul1	X12003Vag1	X12003Vul1	X12004Vul1	X10208Vul1	X11304Vag1	X11304Vul1	X11305Vag1	X11305Vul1	X11306Vag1	X11306Vul1	X12302Vag1	X12302Vul1	X12303Vag1	X10406Vag1	X12303Vul1	X12304Vag1	X12304Vul1	X12801Vag1	X12802Vul1	X10406Vul1	X10506Vag1	groupTotal
Shinella	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000293083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Shuttleworthia	genus	0	0	0	0	0.000368596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Simonsiella	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.88E-05	0	0	0	0	0	0	0	0.000492951	0.000407221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000401849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000486381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000252781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000247647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000140528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00070855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000188501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000499625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004908979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000179308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98
Simplicispira	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00087925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Skermanella	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00017322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Skermania	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000339213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Slackia	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.88E-05	0	0	0	0	0	0	0	0	0.000203611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000412967	0.000505945	0	0	0	0	0	0	0	0	0	0	0	0.000611122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00037092	0	0	0	0	0	0	0	0	0	0	0	0	0.000252525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000327118	0	0	0	0	0	0	0	0	0	0	0	0	0.000257798	0	0.000195274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000273149	0	0	0	0	0	0	0.00020008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000414852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000138696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000503778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001075269	0	0	0	0	0	0	0	0	0	46
Sneathia	genus	0	0	0	0	0.010689274	0	0	0	0	0.111711712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003089598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003606388	0	0	0	0	0	0	0.009837468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00074129	0	0	0	0.030858676	0	0	0	0	0	0	0	0	0	0	0.003367003	0	0	0	0	0	0.006125574	0	0	0	0	0	0.042568543	0	0	0	0	0.022463207	0.001941748	0.000955566	0	0	0	0	0	0	0	0	0.048229015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11993007	0.074482388	0.004825737	0.213402062	0.011032439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031295844	0	0	0	0	0	0	0	0	0.001451379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01231979	0	0	0	0	0	0	0.001030928	0	0	0.032903664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133647336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002678571	0.000332116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000586166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003962358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8468
Soehngenia	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000352485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000230787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001193317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000176274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001070664	0	0	0	0	14
Solobacterium	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00019718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003552398	0.005047956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001449509	0	0	0	0	0	0	0	0	0	0.000331345	0.009007448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001833367	0	0	0	0	0	0	0	0	0.000148017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000781097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000120467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000427899	0	0.000311429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196
